csv_column,csv_unit,imas_unit,csv_dtype,imas_dtype,imas_path,csv_description,imas_description,kind,status,notes,transform,transform_args,needs_source,source_fields,source,
SPIN,,,,,,"Net fraction of NBI power in the parallel direction. Positive for co-injection, negative for counter-injection. Computed from beam geometry angles relative to the geometric axis.",,,,"Net fraction of NBI power in parallel direction: SPIN = (P_co - P_ctr) / P_total. summary/heating_current_drive/power_launched_nbi_co_injected_ratio (already COCTR) = P_co/P_total. SPIN = 2×COCTR - 1 if beams are purely co or counter. Suggest derived (formula: 2×COCTR - 1), or temporary for asymmetric configurations.",,,,,,
TORQ,,,,,,"Torque on the plasma due to neutral beam injection in Newton-meters. Computed summing over beam sources and energy components (full, half, one-third), using beam energy, mass, power and tangency radius.",,,,NBI torque on plasma (N·m). No summary/global_quantities/torque field found. Candidate: nbi/unit(:)/torque or core_sources/source/global_quantities/torque_tor. Not a simple summary scalar. Suggest temporary.,,,,,,
TORQBM,,,,,,Volume-integrated torque due to beam (as calculated in TRANSP) in Newton-meters. Equals TORQ if no TRANSP calculation exists.,,,,Volume-integrated beam torque from TRANSP (N·m). Equals TORQ if no TRANSP calculation. Candidate: same as TORQ note above. Suggest temporary.,,,,,,
TORQIN,,,,,,Volume-integrated total input torque (beam torque + torque from applied or intrinsic error fields) in Newton-meters. Equals TORQBM if no additional torques to consider.,,,,Total input torque including error-field contributions (N·m). No DD path found. Suggest temporary.,,,,,,
VTOR0,,,,,,Toroidal velocity at center of plasma. Definition to come.,,,,Toroidal velocity at plasma center. 'Definition to come' in source PDF. Candidate when defined: summary/local/magnetic_axis/velocity_tor/deuterium (m/s). Suggest temporary.,,,,,,
VTORV,,,,,,Volume-averaged toroidal velocity. Definition to come.,,,,Volume-averaged toroidal velocity. Candidate: summary/volume_average/velocity_tor if it exists. Suggest temporary.,,,,,,
VTORIMP,,,,,,Toroidal velocity of impurities. Definition to come. Set to NONE. Standard dataset flags.,,,,Impurity toroidal velocity. Set to NONE in DB. Candidate: summary/local/magnetic_axis/velocity_phi/<impurity_species> (m/s). Suggest temporary.,,,,,,
STANDARD,,,,,,Standard dataset flag. Can only be non-zero for observations in DB.1. Possible values: 1 = observation belonged to standard dataset of ITERH.DB1; 0 = all other observations.,,,discard,Standard dataset flag (DB.1 membership). Database selection/bookkeeping; no IMAS DD physics equivalent. Suggest temporary or discard.,,,,,,
SELDB1,,,constant_integer0d(:),,,"Flagging variable making connections to DB.1. Can only be non-zero for observations in DB.2. SELDB1 = sum a(I.n) x 10^(n-1), n=1-3. I.1: also in DB.1; I.2: in DB.1 and satisfied old standard selection; I.3: satisfies DB.1 standard selection now.",,,discard,"Selection flag: summary/tag/name is a single string already claimed by SELEC2007, so it cannot hold further flags; suggest temporary like the other SELDB* rows.",,,,,,
SELDB2,,,,,,"Flagging variable for standard selection in DB.2. SELDB2 = sum a(II.n) x 10^(n-1), n=1-10. Bit flags encode: H-mode criterion (II.1), NBI-only with H/D injection (II.2), missing confinement data (II.3), no pellets (II.4), weak dW/dt (II.5), radiation < 60% (II.6), and others. Full logic in DB4v5 PDF entry 164. [...]",,,discard,See SELDB1. | csv_description truncated from 3544 chars; full flag-code/lookup table in DB4v5 PDF entry 164.,,,,,,
SELDB2X,,,,,,"Flagging variable for extra selection criteria in DB.2. SELDB2X = sum a(II.n) x 10^(n-11), n=11-20. Bit flags: high compression ratio (II.11), no hot-ion H-modes (II.12), ELMs present (II.13), strong auxiliary heating (II.14), stationary density (II.15), strong dW/dt (II.16), low Q95 limit (II.17), no beryllisation (II.18), no boronisation (II.19), no carbonization (II.20). Full logic in DB4v5 PDF entry 165.",,,discard,Extra selection flag for DB.2. Database selection/bookkeeping; no IMAS DD equivalent. Suggest temporary.,,,,,,
IAEA92,,,,,,"Standard dataset flag. Can only be non-zero for observations in DB.2. Value 1: ELMy observations in ITERH92-P(y) subset (Kardaun et al., Plasma Phys. Control. Nucl. Fus. Res. 3 (1993) 251). Value 0: all other observations.",,,discard,Dataset flag: ITERH92-P(y) ELMy subset (Kardaun 1993). No IMAS DD equivalent. Suggest temporary.,,,,,,
DB2P5,,,,,,"Standard dataset flag. Can only be non-zero for observations in DB.3v5. Value 1: ELMy observations in subset DB2.5 (JET Report JET P(98)17 / ITER Physics Basis Ch.2, NF 39 (1999) 2175). Value 0: all other.",,,discard,Dataset flag: DB2.5 ELMy subset (ITER Physics Basis 1999). No IMAS DD equivalent. Suggest temporary.,,,,,,
DB2P8,,,,,,"Standard dataset flag. Can only be non-zero for observations in DB.3v5. Value 1: ELMy observations in subset DB2.8 (JET Report JET P(98)17 / ITER Physics Basis Ch.2, NF 39 (1999) 2175). Value 0: all other.",,,discard,Dataset flag: DB2.8 ELMy subset (ITER Physics Basis 1999). No IMAS DD equivalent. Suggest temporary.,,,,,,
DB3IS,,,,,,"Standard dataset flag. Can only be non-zero for observations in DB.3v5. Value 1: ELMy observations in subset DB3r(IS) (JET Report JET P(98)17 / ITER Physics Basis Ch.2, NF 39 (1999) 2175). Value 0: all other.",,,discard,Dataset flag: DB3r(IS) subset. No IMAS DD equivalent. Suggest temporary.,,,,,,
DB3V5,,,,,,"Standard dataset flag. Can only be non-zero for observations in DB.3v5. Value 1: standard dataset selection for DB3v5 (JET Report JET P(98)17 / ITER Physics Basis Ch.2, NF 39 (1999) 2175). Value 0: all other.",,,discard,Dataset flag: DB3v5 standard selection. No IMAS DD equivalent. Suggest temporary.,,,,,,
IAE2000N,,,,,,"Standard dataset flag. See SELDB3X for selection details. Value 1: small IAEA2000 standard dataset (Kardaun et al., Fusion Energy 2000, IAEA Vienna 2001). Value 0: all other.",,,discard,Dataset flag: small IAEA2000 standard set (Kardaun 2001). No IMAS DD equivalent. Suggest temporary.,,,,,,
IAE2000X,,,,,,"Standard dataset flag. See SELDB3X for selection details. Value 1: large IAEA2000 standard dataset (Kardaun et al., Fusion Energy 2000, IAEA Vienna 2001). Value 0: all other.",,,discard,Dataset flag: large IAEA2000 standard set (Kardaun 2001). No IMAS DD equivalent. Suggest temporary.,,,,,,
HMWS2003,,,,,,"Standard dataset flag. See SELDB3X for selection details. Value 1: deuterium-only standard dataset (Kardaun et al., H-mode Workshop San Diego 2003). Value 0: all other.",,,discard,Dataset flag: H-mode Workshop 2003 deuterium-only subset. No IMAS DD equivalent. Suggest temporary.,,,,,,
IAE2004S,,,,,,"Standard dataset flag. See SELDB3X for selection details. Value 1: IAEA2004 standard dataset (Cordey et al., Fusion Energy 2004, IAEA Vienna 2004). Value 0: all other.",,,discard,Dataset flag: IAEA2004 standard set (Cordey 2004). No IMAS DD equivalent. Suggest temporary.,,,,,,
IAE2004I,,,,,,"Standard dataset flag. See SELDB3X for selection details. Value 1: ITER-like standard dataset (Cordey et al., Fusion Energy 2004, IAEA Vienna 2004). Value 0: all other.",,,discard,Dataset flag: IAEA2004 ITER-like subset. No IMAS DD equivalent. Suggest temporary.,,,,,,
DB3DONLY,,,,,,"Standard dataset flag. See SELDB3X for selection details. Value 1: deuterium-only standard dataset (McDonald et al., Nuclear Fusion). Value 0: all other.",,,discard,Dataset flag: deuterium-only subset (McDonald et al.). No IMAS DD equivalent. Suggest temporary.,,,,,,
HMWS2005,,,,,,"Standard dataset flag. See SELDB3X for selection details. Value 1: standard dataset from 2005 H-mode Workshop (Kaye et al., St. Petersburg Sept 2005) for 1.6 <= kappa <= 2.43 and 1.6 <= MEFF <= 2.4, excluding TCV and JT60U. Includes 36 PBXM data points. Value 0: all other.",,,discard,Dataset flag: H-mode Workshop 2005 subset (Kaye et al.). No IMAS DD equivalent. Suggest temporary.,,,,,,
OJK2006,,,,,,Standard dataset flag. Value 1: standard dataset as defined in Kardaun et al. (2006). Value 0: all other observations.,,,discard,Dataset flag: Kardaun et al. 2006 subset. No IMAS DD equivalent. Suggest temporary.,,,,,,
SELDB3,,,,,,"Flagging variable for standard selection in DB.3. SELDB3 = sum a(III.n) x 10^(n-1), n=1-10. Bit flags: H-mode criterion (III.1), no missing confinement data (III.2), no pellets (III.3), weak dW/dt (III.4), radiation < 60% (III.5), and others. Full logic (including tokamak-specific exceptions) in DB4v5 PDF entry 179. [...]",,,discard,Dataset selection flag for DB.3 standard set. No IMAS DD equivalent. Suggest temporary. (Description truncated; full logic in DB4v5 PDF entry 179.),,,,,,
SELDB3X,,,,,,"Flagging variable for extra selection criteria in DB.3. SELDB3X = sum a(III.n) x 10^(n-11), n=11-16. Bit flags: withdrawn data (III.11), strong gas puff (III.12), Ti0/Te0 ratio limit (III.13), internal inductance limit (III.14), large/small IAEA2000 equivalent datasets (III.15/16). Full logic in DB4v5 PDF entry 180. [...]",,,discard,Dataset extra-selection flag for DB.3. No IMAS DD equivalent. Suggest temporary. (Description truncated; full logic in DB4v5 PDF entry 180.),,,,,,
SELDB4,,,,,,"Flagging variable for new standard selection. SELDB4 = sum a(IV.n) x 10^(n-1), n=1-10. IV.1 Hybrid H-mode criterion: a(IV.1) = 1 if HYBRID = YES, HYBRID or IH.",,,discard,Dataset selection flag for DB.4 standard set (hybrid H-mode criterion). No IMAS DD equivalent. Suggest temporary.,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
